"barcode","bayesspace_domain"
"bin8_284_471","2"
"bin8_284_472","2"
"bin8_284_473","2"
"bin8_284_474","2"
"bin8_284_475","2"
"bin8_284_476","5"
"bin8_284_477","5"
"bin8_284_478","5"
"bin8_284_479","5"
"bin8_285_466","3"
"bin8_285_467","3"
"bin8_285_468","3"
"bin8_285_469","2"
"bin8_285_470","2"
"bin8_285_471","3"
"bin8_285_472","3"
"bin8_285_473","3"
"bin8_285_474","5"
"bin8_285_475","5"
"bin8_285_476","5"
"bin8_285_477","5"
"bin8_285_478","5"
"bin8_285_479","5"
"bin8_285_480","5"
"bin8_285_481","5"
"bin8_285_482","1"
"bin8_285_483","1"
"bin8_285_484","5"
"bin8_286_463","5"
"bin8_286_464","5"
"bin8_286_465","5"
"bin8_286_466","3"
"bin8_286_467","2"
"bin8_286_468","2"
"bin8_286_469","2"
"bin8_286_470","2"
"bin8_286_471","2"
"bin8_286_472","2"
"bin8_286_473","2"
"bin8_286_474","2"
"bin8_286_475","5"
"bin8_286_476","5"
"bin8_286_477","5"
"bin8_286_478","5"
"bin8_286_479","5"
"bin8_286_480","5"
"bin8_286_481","5"
"bin8_286_482","5"
"bin8_286_483","1"
"bin8_286_484","5"
"bin8_286_485","2"
"bin8_286_486","2"
"bin8_286_487","2"
"bin8_287_461","1"
"bin8_287_462","1"
"bin8_287_463","1"
"bin8_287_464","1"
"bin8_287_465","1"
"bin8_287_466","2"
"bin8_287_467","2"
"bin8_287_468","2"
"bin8_287_469","2"
"bin8_287_470","2"
"bin8_287_471","2"
"bin8_287_472","2"
"bin8_287_473","2"
"bin8_287_474","2"
"bin8_287_475","2"
"bin8_287_476","5"
"bin8_287_477","5"
"bin8_287_478","5"
"bin8_287_479","5"
"bin8_287_480","5"
"bin8_287_481","3"
"bin8_287_482","5"
"bin8_287_483","3"
"bin8_287_484","3"
"bin8_287_485","2"
"bin8_287_486","2"
"bin8_287_487","2"
"bin8_287_488","2"
"bin8_287_489","2"
"bin8_288_459","4"
"bin8_288_460","3"
"bin8_288_461","3"
"bin8_288_462","1"
"bin8_288_463","1"
"bin8_288_464","1"
"bin8_288_465","1"
"bin8_288_466","2"
"bin8_288_467","2"
"bin8_288_468","2"
"bin8_288_469","2"
"bin8_288_470","2"
"bin8_288_471","2"
"bin8_288_472","2"
"bin8_288_473","2"
"bin8_288_474","2"
"bin8_288_475","2"
"bin8_288_476","2"
"bin8_288_477","3"
"bin8_288_478","3"
"bin8_288_479","3"
"bin8_288_480","2"
"bin8_288_481","3"
"bin8_288_482","3"
"bin8_288_483","3"
"bin8_288_484","5"
"bin8_288_485","5"
"bin8_288_486","2"
"bin8_288_487","2"
"bin8_288_488","2"
"bin8_288_489","2"
"bin8_288_490","2"
"bin8_288_491","2"
"bin8_289_457","4"
"bin8_289_458","4"
"bin8_289_459","5"
"bin8_289_460","3"
"bin8_289_461","3"
"bin8_289_462","3"
"bin8_289_463","1"
"bin8_289_464","1"
"bin8_289_465","2"
"bin8_289_466","2"
"bin8_289_467","2"
"bin8_289_468","2"
"bin8_289_469","2"
"bin8_289_470","2"
"bin8_289_471","2"
"bin8_289_472","2"
"bin8_289_473","2"
"bin8_289_474","2"
"bin8_289_475","2"
"bin8_289_476","2"
"bin8_289_477","2"
"bin8_289_478","3"
"bin8_289_479","3"
"bin8_289_480","3"
"bin8_289_481","2"
"bin8_289_482","2"
"bin8_289_483","2"
"bin8_289_484","5"
"bin8_289_485","5"
"bin8_289_486","5"
"bin8_289_487","2"
"bin8_289_488","2"
"bin8_289_489","2"
"bin8_289_490","2"
"bin8_289_491","2"
"bin8_289_492","2"
"bin8_289_493","2"
"bin8_290_456","4"
"bin8_290_457","4"
"bin8_290_458","4"
"bin8_290_459","4"
"bin8_290_460","1"
"bin8_290_461","1"
"bin8_290_462","1"
"bin8_290_463","1"
"bin8_290_464","1"
"bin8_290_465","2"
"bin8_290_466","2"
"bin8_290_467","2"
"bin8_290_468","2"
"bin8_290_469","2"
"bin8_290_470","2"
"bin8_290_471","2"
"bin8_290_472","2"
"bin8_290_473","2"
"bin8_290_474","2"
"bin8_290_475","2"
"bin8_290_476","2"
"bin8_290_477","2"
"bin8_290_478","3"
"bin8_290_479","3"
"bin8_290_480","3"
"bin8_290_481","2"
"bin8_290_482","2"
"bin8_290_483","2"
"bin8_290_484","2"
"bin8_290_485","5"
"bin8_290_486","5"
"bin8_290_487","2"
"bin8_290_488","2"
"bin8_290_489","2"
"bin8_290_490","2"
"bin8_290_491","2"
"bin8_290_492","2"
"bin8_290_493","2"
"bin8_290_494","2"
"bin8_291_455","4"
"bin8_291_456","4"
"bin8_291_457","4"
"bin8_291_458","4"
"bin8_291_459","4"
"bin8_291_460","1"
"bin8_291_461","1"
"bin8_291_462","1"
"bin8_291_463","1"
"bin8_291_464","1"
"bin8_291_465","1"
"bin8_291_466","5"
"bin8_291_467","2"
"bin8_291_468","2"
"bin8_291_469","2"
"bin8_291_470","2"
"bin8_291_471","2"
"bin8_291_472","2"
"bin8_291_473","2"
"bin8_291_474","2"
"bin8_291_475","2"
