panel,scale_group,library,term,adjusted_p_value,neg_log10_fdr,combined_score,overlap_genes,n_submitted_genes,crc_related_term,pan_cancer_related_term
cellmarker_2024,coarse_hclust,CellMarker_2024,Endothelial Cell Fetal Gonad Human,0.0052954955557115,2.2760933921116235,94.6602322005191,"ZCCHC24,NFIB,CDCA5,SLIT2,MEIS2",50,False,False
cellmarker_2024,coarse_hclust,CellMarker_2024,Hematopoietic Stem Cell Bone Marrow Mouse,0.0124304157029336,1.9055143472657283,43.21123704651393,"KANK2,WWTR1,CRISPLD1,CCDC136,PBX3,GAS6,PBX1",50,False,False
cellmarker_2024,coarse_hclust,CellMarker_2024,Fibroblast Skin Mouse,0.0196136371380587,1.707441863623349,94.93197333904207,"ADAM33,LPAR1,CYBRD1",50,False,False
cellmarker_2024,coarse_hclust,CellMarker_2024,Plasmacytoid Dendritic Cell Blood Human,0.0196136371380587,1.707441863623349,42.472457709018045,"SMPD3,VIPR2,CCDC69,AHNAK2,GAS6",50,False,False
cellmarker_2024,coarse_hclust,CellMarker_2024,DCLK1+ Progenitor Cell Large Intestine Human,0.0215490115392856,1.6665726462865142,84.93418557118899,"SRPX,LPAR1,CYBRD1",50,True,False
cellmarker_2024,coarse_hclust,CellMarker_2024,Gonadal Endothelial Cell Fetal Gonad Human,0.0596855272871169,1.2241309650403909,24.019658226489803,"ZCCHC24,WWTR1,NFIB,CDCA5,MEIS2",50,False,False
cellmarker_2024,coarse_hclust,CellMarker_2024,Conventional Dendritic Cell 2(cDC2) Liver Human,0.0640272756310465,1.19363497706971,446.4379351400606,GNAO1,50,False,False
cellmarker_2024,coarse_hclust,CellMarker_2024,Conventional Dendritic Cell 2(cDC2) Spleen Human,0.0640272756310465,1.19363497706971,446.4379351400606,GNAO1,50,False,False
cellmarker_2024,coarse_hclust,CellMarker_2024,Dendritic Cell Breast Human,0.0640272756310465,1.19363497706971,446.4379351400606,GNAO1,50,False,False
cellmarker_2024,coarse_hclust,CellMarker_2024,Tooth Progenitor Cell Embryo Mouse,0.0640272756310465,1.19363497706971,446.4379351400606,FOXP2,50,False,False
cellmarker_2024,fine_hclust,CellMarker_2024,Macrophage Stomach Human,1.1218000046203216e-05,4.950084562537787,1026.663830175208,"CHIT1,CXCL8,SPP1,APOE,CXCL5",50,False,False
cellmarker_2024,fine_hclust,CellMarker_2024,Monocyte Rectum Human,1.9643586296934177e-05,4.706779220887948,6385.135183118324,"CXCL8,IL1B,LYZ",50,False,False
cellmarker_2024,fine_hclust,CellMarker_2024,Macrophage Breast Human,1.9643586296934177e-05,4.706779220887948,1572.501325123093,"CD74,IL1B,VIM,LYZ",50,False,False
cellmarker_2024,fine_hclust,CellMarker_2024,Macrophage Liver Human,2.4208841521824778e-05,4.616025992578786,1211.569241792194,"CXCL10,IL1B,SPP1,APOE",50,False,False
cellmarker_2024,fine_hclust,CellMarker_2024,Enteroendocrine Cell Intestinal Crypt Mouse,3.220203445333766e-05,4.492116689672268,326.8836736814432,"TPH1,DMBT1,GUCA2B,VIM,TAC1,CHGB",50,False,False
cellmarker_2024,fine_hclust,CellMarker_2024,Macrophage Lung Human,4.391526586473966e-05,4.357384483668089,456.1866010607776,"CD74,CXCL10,IL1B,SPP1,APOE",50,False,False
cellmarker_2024,fine_hclust,CellMarker_2024,Stromal Cell Breast Mouse,4.476504995174358e-05,4.3490609265568745,2888.7237871380835,"COL4A1,IGFBP7,VIM",50,False,False
cellmarker_2024,fine_hclust,CellMarker_2024,Macrophage Rectum Human,4.476504995174358e-05,4.3490609265568745,2888.7237871380835,"CXCL8,IL1B,LYZ",50,False,False
cellmarker_2024,fine_hclust,CellMarker_2024,Natural Regulatory T Cell Blood Human,5.851787606417284e-05,4.232711445197944,2411.382965740782,"CD74,LGALS1,VIM",50,False,False
cellmarker_2024,fine_hclust,CellMarker_2024,Monocyte Lung Human,7.6703665425207e-05,4.115183881997495,635.0752632396991,"CXCL10,IL1B,APOE,LYZ",50,False,False
cellmarker_2024,mid_hclust,CellMarker_2024,LGR5+ Stem Cell Large Intestine Human,0.0009847939378163,3.0066546334936826,420.6825006129661,"SLPI,PKP2,CDCA7,CFTR",50,True,False
cellmarker_2024,mid_hclust,CellMarker_2024,Goblet Cell Large Intestine Human,0.007250790213078,2.1396146601217025,317.0149830122188,"CAPN8,MLPH,GPA33",50,True,False
cellmarker_2024,mid_hclust,CellMarker_2024,Epithelial Cell Pancreas Human,0.1051447508832976,0.9782124036179008,342.3895623444841,ESRP2,50,False,False
cellmarker_2024,mid_hclust,CellMarker_2024,Fibroblast Heart Muscle Mouse,0.1051447508832976,0.9782124036179008,342.3895623444841,LTBP2,50,False,False
cellmarker_2024,mid_hclust,CellMarker_2024,Epithelial Cell Bronchiole Human,0.1051447508832976,0.9782124036179008,274.9362107684438,CFTR,50,False,False
cellmarker_2024,mid_hclust,CellMarker_2024,Regulatory T(Treg) Cell Large Intestine Human,0.1051447508832976,0.9782124036179008,274.9362107684438,GPA33,50,True,False
cellmarker_2024,mid_hclust,CellMarker_2024,Matrix Fibroblast Lung Mouse,0.1051447508832976,0.9782124036179008,41.00698685273265,"MRC2,CAPN5,WNT2",50,False,False
cellmarker_2024,mid_hclust,CellMarker_2024,Epithelial Cell Lung Mouse,0.1051447508832976,0.9782124036179008,26.167139347802365,"ESRP2,VSIG2,CFTR,PLS1",50,False,False
cellmarker_2024,mid_hclust,CellMarker_2024,Cancer Cell Pancreas Human,0.1053142264438768,0.9775129578862808,227.9549801512961,WNT2,50,False,True
cellmarker_2024,mid_hclust,CellMarker_2024,Goblet Cell Airway Epithelium Human,0.1053142264438768,0.9775129578862808,193.52086993316271,SLPI,50,False,False
crc_disease_pathway,coarse_hclust,Jensen_DISEASES_Curated_2025,SUBSTANCE ABUSE,0.0100784330472794,1.9966069849360608,470.9442866528224,"CHRM2,ADH1B",50,False,False
crc_disease_pathway,coarse_hclust,Jensen_DISEASES_Curated_2025,ALCOHOL USE DISORDER,0.0100784330472794,1.9966069849360608,470.9442866528224,"CHRM2,ADH1B",50,False,False
crc_disease_pathway,coarse_hclust,Jensen_DISEASES_Curated_2025,DISEASE OF MENTAL HEALTH,0.0100784330472794,1.9966069849360608,104.33762413438907,"CHRM2,ADH1B,ANK2,FOXP2",50,False,False
crc_disease_pathway,coarse_hclust,Jensen_DISEASES_Curated_2025,SUBSTANCE-RELATED DISORDER,0.0305745260015595,1.514640267129054,177.0595839464994,"CHRM2,ADH1B",50,False,False
crc_disease_pathway,coarse_hclust,Jensen_DISEASES_Experimental_2025,SQUAMOUS CELL CARCINOMA,0.0732674435211842,1.1350889617844897,40.40037456894959,"CHRM2,CHRNA3,BNC2,MORN5,FOXP1",50,False,True
crc_disease_pathway,coarse_hclust,Jensen_DISEASES_Experimental_2025,BRAIN DISEASE,0.0732674435211842,1.1350889617844897,30.641093947313543,"GNAO1,KANK2,CHRNA3,CCDC136,COPZ2,ABCC9,ANK2",50,False,False
crc_disease_pathway,coarse_hclust,Jensen_DISEASES_Experimental_2025,SPECIFIC DEVELOPMENTAL DISORDER,0.0732674435211842,1.1350889617844897,23.801394701057006,"WWTR1,BNC2,CPXM2,NFIB,SLIT2,CDK14,FOXP2,PBX1,NFATC4,FOXP1",50,False,False
crc_disease_pathway,coarse_hclust,Jensen_DISEASES_Experimental_2025,DEVELOPMENTAL DISORDER OF MENTAL HEALTH,0.0732674435211842,1.1350889617844897,22.194113643790857,"WWTR1,CHRNA3,BNC2,CPXM2,NFIB,SLIT2,CDK14,FOXP2,PBX1,GLI3,NFATC4,FOXP1",50,False,False
crc_disease_pathway,coarse_hclust,Jensen_DISEASES_Experimental_2025,DISEASE,0.0732674435211842,1.1350889617844897,20.18644794547349,"KANK2,CHRM2,POPDC2,CHRNA3,MEGF6,VIPR2,BNC2,SPINDOC,ADH1B,CPXM2,CCDC69,CDCA5,MRGPRF,LPAR1,GLI3,ADAMTSL3,SLIT2,PSD,ZCCHC24,WWTR1,CCDC136,AHNAK2,ADAM33,PBX3,COPZ2,ABCC9,TMEM171,ANK2,FOXP2,PBX1,NFATC4,FOXP1,GNAO1,NFIB,MORN5,CDK14,ANGPTL1,GAS7",50,False,False
crc_disease_pathway,coarse_hclust,Jensen_DISEASES_Experimental_2025,ATTENTION DEFICIT HYPERACTIVITY DISORDER,0.0862810802004793,1.0640844263630616,19.123882712562462,"WWTR1,BNC2,CPXM2,NFIB,SLIT2,CDK14,FOXP2,PBX1,FOXP1",50,False,False
crc_disease_pathway,fine_hclust,KEGG_2021_Human,IL-17 signaling pathway,3.727606936209479e-07,6.428569888816743,724.5176034566006,"CXCL10,CXCL8,MMP1,IL1B,MMP3,MMP9,CXCL5",50,False,False
crc_disease_pathway,fine_hclust,MSigDB_Hallmark_2020,Coagulation,1.0960858543403333e-06,5.960155427050608,414.1254549500961,"VWF,MMP1,MMP3,A2M,MMP9,F3,MMP10",50,False,False
crc_disease_pathway,fine_hclust,MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,6.872333004220912e-06,5.1628958045913,238.06795841122283,"CXCL8,LGALS1,MMP1,COL4A1,MMP3,SPP1,VIM",50,False,False
crc_disease_pathway,fine_hclust,Reactome_2022,Collagen Degradation R-HSA-1442490,8.178799614135422e-06,5.08731043217365,1064.1538508775088,"MMP12,MMP1,MMP3,MMP9,MMP10",50,False,False
crc_disease_pathway,fine_hclust,Reactome_2022,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,2.2307123909160606e-05,4.651556420343675,405.6123793534149,"CXCL8,MMP1,IL1B,MMP3,VIM,MMP9",50,False,False
crc_disease_pathway,fine_hclust,Jensen_DISEASES_Curated_2025,FAMILIAL VISCERAL AMYLOIDOSIS,2.4050005927675135e-05,4.618884812248308,1572.501325123093,"HBB,APOE,LYZ,ACTB",50,False,False
crc_disease_pathway,fine_hclust,Jensen_DISEASES_Curated_2025,AMYLOIDOSIS,5.109290594788182e-05,4.291639395786333,475.07166684012833,"HBB,APOE,LYZ,A2M,ACTB",50,False,False
crc_disease_pathway,fine_hclust,Reactome_2022,Activation Of Matrix Metalloproteinases R-HSA-1592389,7.461388040393048e-05,4.127180373303631,807.745211009409,"MMP1,MMP3,MMP9,MMP10",50,False,False
crc_disease_pathway,fine_hclust,MSigDB_Hallmark_2020,KRAS Signaling Up,7.494518599225184e-05,4.12525625826795,159.57344828850043,"CXCL10,TPH1,IL1B,SPP1,MMP9,MMP10",50,False,False
crc_disease_pathway,fine_hclust,KEGG_2021_Human,Rheumatoid arthritis,0.0001908750684986,3.7192507940817,315.0356995323513,"CXCL8,MMP1,IL1B,MMP3,CXCL5",50,False,False
crc_disease_pathway,mid_hclust,MSigDB_Hallmark_2020,Estrogen Response Early,0.0023772207280372,2.6239304915919552,99.9010527744165,"RAB31,MLPH,ESRP2,TTC39A,RAPGEFL1",50,False,False
crc_disease_pathway,mid_hclust,Reactome_2022,"Metabolism Of Ingested SeMet, Sec, MeSec Into H2Se R-HSA-2408508",0.031380036968501,1.503346549110888,1202.2517804391236,"NNMT,VSIG2",50,False,False
