barcode,spagcn_domain
bin8_284_471,1
bin8_284_472,1
bin8_284_473,1
bin8_284_474,1
bin8_284_475,1
bin8_284_476,1
bin8_284_477,0
bin8_284_478,0
bin8_284_479,0
bin8_285_466,0
bin8_285_467,3
bin8_285_468,1
bin8_285_469,1
bin8_285_470,1
bin8_285_471,1
bin8_285_472,1
bin8_285_473,0
bin8_285_474,0
bin8_285_475,0
bin8_285_476,0
bin8_285_477,0
bin8_285_478,0
bin8_285_479,0
bin8_285_480,0
bin8_285_481,0
bin8_285_482,0
bin8_285_483,0
bin8_285_484,0
bin8_286_463,0
bin8_286_464,0
bin8_286_465,0
bin8_286_466,0
bin8_286_467,3
bin8_286_468,1
bin8_286_469,1
bin8_286_470,1
bin8_286_471,1
bin8_286_472,1
bin8_286_473,1
bin8_286_474,0
bin8_286_475,0
bin8_286_476,0
bin8_286_477,0
bin8_286_478,0
bin8_286_479,0
bin8_286_480,0
bin8_286_481,0
bin8_286_482,0
bin8_286_483,0
bin8_286_484,0
bin8_286_485,0
bin8_286_486,1
bin8_286_487,1
bin8_287_461,0
bin8_287_462,0
bin8_287_463,2
bin8_287_464,0
bin8_287_465,0
bin8_287_466,0
bin8_287_467,1
bin8_287_468,1
bin8_287_469,1
bin8_287_470,1
bin8_287_471,1
bin8_287_472,1
bin8_287_473,1
bin8_287_474,1
bin8_287_475,1
bin8_287_476,0
bin8_287_477,0
bin8_287_478,0
bin8_287_479,0
bin8_287_480,0
bin8_287_481,0
bin8_287_482,0
bin8_287_483,0
bin8_287_484,0
bin8_287_485,0
bin8_287_486,1
bin8_287_487,1
bin8_287_488,1
bin8_287_489,1
bin8_288_459,2
bin8_288_460,2
bin8_288_461,0
bin8_288_462,0
bin8_288_463,3
bin8_288_464,0
bin8_288_465,0
bin8_288_466,1
bin8_288_467,1
bin8_288_468,1
bin8_288_469,1
bin8_288_470,1
bin8_288_471,1
bin8_288_472,1
bin8_288_473,1
bin8_288_474,1
bin8_288_475,1
bin8_288_476,1
bin8_288_477,0
bin8_288_478,0
bin8_288_479,0
bin8_288_480,0
bin8_288_481,0
bin8_288_482,0
bin8_288_483,0
bin8_288_484,0
bin8_288_485,0
bin8_288_486,1
bin8_288_487,1
bin8_288_488,1
bin8_288_489,1
bin8_288_490,1
bin8_288_491,1
bin8_289_457,2
bin8_289_458,2
bin8_289_459,2
bin8_289_460,2
bin8_289_461,0
bin8_289_462,0
bin8_289_463,0
bin8_289_464,0
bin8_289_465,0
bin8_289_466,1
bin8_289_467,1
bin8_289_468,1
bin8_289_469,1
bin8_289_470,3
bin8_289_471,1
bin8_289_472,1
bin8_289_473,1
bin8_289_474,1
bin8_289_475,1
bin8_289_476,1
bin8_289_477,0
bin8_289_478,0
bin8_289_479,0
bin8_289_480,1
bin8_289_481,1
bin8_289_482,1
bin8_289_483,1
bin8_289_484,0
bin8_289_485,3
bin8_289_486,0
bin8_289_487,1
bin8_289_488,1
bin8_289_489,1
bin8_289_490,1
bin8_289_491,1
bin8_289_492,3
bin8_289_493,1
bin8_290_456,2
bin8_290_457,2
bin8_290_458,2
bin8_290_459,2
bin8_290_460,0
bin8_290_461,0
bin8_290_462,0
bin8_290_463,0
bin8_290_464,0
bin8_290_465,0
bin8_290_466,1
bin8_290_467,1
bin8_290_468,1
bin8_290_469,1
bin8_290_470,3
